deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p323_023.wav,4.7469187,4.579362,4.7137785,4.6634383,4.6517615,NISQAv2
p301_391.wav,4.523594,4.154552,4.1980658,4.3212943,4.2118583,NISQAv2
p275_294.wav,4.9993343,4.6569314,4.867962,4.5763865,4.7218,NISQAv2
p285_114.wav,5.009677,4.777731,4.927617,4.7036204,4.7328258,NISQAv2
p323_191.wav,4.398588,4.2933135,4.3890667,4.1922393,4.3036876,NISQAv2
p255_268.wav,4.711686,4.506456,4.591628,4.445973,4.5833907,NISQAv2
p361_092.wav,4.853603,4.643262,4.7538457,4.553711,4.6464376,NISQAv2
p335_157.wav,4.1561832,3.7141879,3.9597297,4.1206746,4.249337,NISQAv2
p237_021.wav,4.8557973,4.694003,4.7596474,4.5093646,4.7097,NISQAv2
p361_150.wav,4.6334963,4.5842586,4.6089406,4.4177547,4.524333,NISQAv2
p272_120.wav,4.1787605,4.056638,3.8031523,3.9058282,4.209395,NISQAv2
p255_106.wav,4.793539,4.6307683,4.70294,4.428813,4.5740914,NISQAv2
p316_352.wav,4.5128326,4.35841,4.5524206,4.3745065,4.551815,NISQAv2
p341_044.wav,4.2331114,4.0072846,3.6899118,4.3013496,4.2140503,NISQAv2
p264_421.wav,4.7470717,4.528135,4.801322,4.617522,4.6315928,NISQAv2
p302_187.wav,4.868541,4.51766,4.692868,4.509908,4.6695323,NISQAv2
p255_028.wav,4.758221,4.5322957,4.6818533,4.3911033,4.530163,NISQAv2
p241_140.wav,4.591744,4.2997785,4.3557444,4.390998,4.423865,NISQAv2
p251_247.wav,5.000692,4.608293,4.85979,4.5800395,4.6177917,NISQAv2
p336_120.wav,4.298605,4.0296135,4.239579,4.302837,4.332681,NISQAv2
p323_411.wav,4.6351476,4.4496307,4.6041365,4.445808,4.514378,NISQAv2
p272_160.wav,4.7636185,4.4984584,4.3454466,4.516918,4.433517,NISQAv2
p275_143.wav,4.98695,4.6242924,4.7971983,4.614292,4.6620135,NISQAv2
p255_130.wav,4.6875434,4.454576,4.6529408,4.435413,4.5666924,NISQAv2
p361_387.wav,4.333502,4.2007394,4.340927,4.1668315,4.4469886,NISQAv2
p234_193.wav,4.645439,4.389996,4.511341,4.522221,4.5408864,NISQAv2
p333_188.wav,4.477749,4.4679933,4.4980793,4.3666906,4.3914924,NISQAv2
p284_079.wav,4.6142645,4.317931,4.1391244,4.401221,4.4213915,NISQAv2
p275_166.wav,4.922018,4.6407704,4.8157406,4.5791593,4.630467,NISQAv2
p316_272.wav,4.507216,4.1732125,4.4003544,4.3644996,4.5665603,NISQAv2
p251_059.wav,4.5428953,4.5384254,4.505918,4.375466,4.4217095,NISQAv2
p285_214.wav,4.9287176,4.6105227,4.664837,4.5524325,4.63784,NISQAv2
p264_046.wav,4.3591022,4.3894944,4.02098,4.2925897,4.449827,NISQAv2
p326_122.wav,4.5298305,4.440375,4.45821,4.499269,4.547569,NISQAv2
p361_404.wav,4.18216,4.5320816,4.159502,4.280784,4.147166,NISQAv2
p335_307.wav,4.626237,4.537913,4.598806,4.428423,4.451328,NISQAv2
p275_295.wav,4.9794426,4.7245946,4.81958,4.5540347,4.7013636,NISQAv2
p234_142.wav,4.7075596,4.507512,4.5602245,4.4319196,4.5409746,NISQAv2
p363_027.wav,4.5172257,4.536018,4.477729,4.3599763,4.4448442,NISQAv2
p364_185.wav,4.6800613,4.4264035,4.697011,4.4872246,4.582577,NISQAv2
p316_165.wav,4.2297416,4.0288825,4.161795,3.9752529,4.1206408,NISQAv2
p361_155.wav,4.604917,3.8037608,3.8490753,4.5528574,4.505922,NISQAv2
p302_251.wav,4.5112185,4.3941693,4.281601,4.2951393,4.353664,NISQAv2
p251_241.wav,4.9237576,4.5113244,4.7288194,4.5622797,4.5387297,NISQAv2
p255_205.wav,4.5511856,4.460647,4.553915,4.2391396,4.345296,NISQAv2
p361_403.wav,4.1969185,4.389156,4.569146,4.1168985,4.1609993,NISQAv2
p323_356.wav,5.002811,4.7461543,4.753026,4.690389,4.677193,NISQAv2
p323_135.wav,4.9614687,4.722718,4.8540516,4.752069,4.741017,NISQAv2
p234_169.wav,4.122761,2.7662156,3.3989568,3.485525,4.15953,NISQAv2
p251_243.wav,4.770123,4.622214,4.669936,4.4776707,4.6081758,NISQAv2
p237_180.wav,4.77236,4.429075,4.6309137,4.4391456,4.5863853,NISQAv2
p284_269.wav,4.2007937,3.197619,4.4531965,4.3959317,4.310614,NISQAv2
p335_123.wav,4.3823104,2.9432828,3.4194267,4.499315,4.1638565,NISQAv2
p241_248.wav,4.6921577,4.4811883,4.564716,4.362312,4.475405,NISQAv2
p316_115.wav,4.2606387,4.175483,4.0219936,4.4466434,4.365126,NISQAv2
p305_242.wav,4.054584,4.1185756,4.333874,4.274038,4.0849032,NISQAv2
p264_347.wav,4.7287493,4.652241,4.5578017,4.350421,4.502857,NISQAv2
p361_239.wav,4.694832,4.5403905,4.7508926,4.4204926,4.5468,NISQAv2
p305_012.wav,4.54929,4.6098385,4.572876,4.403694,4.4670568,NISQAv2
p272_274.wav,4.7474284,4.4657426,4.659446,4.513106,4.536039,NISQAv2
